uri:/instrument/1.0/AMZN/chartdata;type=quote;range=1d/csv
ticker:amzn
Company-Name:Amazon.com, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EST
currency:USD
gmtoffset:-18000
previous_close:839.9500
Timestamp:1486132200,1486155600
labels:1486134000,1486137600,1486141200,1486144800,1486148400,1486152000,1486155600
values:Timestamp,close,high,low,open,volume
close:805.7000,817.7840
high:807.5500,818.3000
low:804.0000,816.3400
open:805.6000,817.6650
volume:0,620300
1486132207,805.7000,807.5500,804.0000,806.0000,574600
1486132260,806.2500,808.0000,804.4999,805.6000,131900
1486132320,809.6000,811.0000,805.6100,805.6100,157200
1486132380,811.2700,811.7300,809.1667,809.5970,116900
1486132440,811.5964,813.0000,810.0300,810.9053,142800
1486132500,811.0376,812.7100,809.9000,811.5025,123600
1486132561,811.3799,812.0900,810.5300,811.0000,100400
1486132620,812.5700,814.0500,811.5500,811.5800,129000
1486132739,814.5900,815.0000,812.7300,812.7502,114000
1486132799,817.7840,818.0000,814.1900,814.8700,128600
1486132859,816.6494,818.3000,816.3400,817.6650,157900
1486132919,815.5300,817.0000,815.0000,816.8758,145100
1486132920,812.3300,815.8300,812.1200,815.2802,131100
1486132981,811.6099,813.0000,810.6000,812.5200,129700
1486133041,810.7500,811.6000,809.2500,811.5670,145100
1486133159,811.6300,812.4900,810.5200,810.7500,90200
1486133160,812.4999,812.7000,811.1150,811.3600,69500
1486133220,813.0800,813.4700,811.9100,812.1841,73300
1486133339,811.3750,813.4100,811.2700,813.1981,59200
1486133340,812.3500,815.0000,811.2150,811.3700,0
1486133459,813.0100,813.5700,812.0400,812.2830,49000
1486133460,812.2500,813.3000,811.2500,813.2700,79300
1486133520,812.8304,814.0700,812.2599,812.2599,56300
1486133639,813.5976,813.9800,812.8199,813.1400,47200
1486133640,813.5400,813.8900,812.4760,813.6200,50400
1486133700,813.1620,813.8550,812.7500,813.3000,42000
1486133760,811.6900,813.7401,811.6900,813.3200,61500
1486133820,813.1200,813.6000,811.0000,811.6900,62900
1486133939,813.7500,813.8000,812.4999,813.4420,56700
1486133941,813.1840,814.7000,812.6201,813.8500,55600
1486134000,811.4700,813.2600,811.4000,813.2600,65300
1486134060,812.1460,813.0000,811.4000,811.4000,33700
