uri:/instrument/1.0/TSLA/chartdata;type=quote;range=1d/csv
ticker:tsla
Company-Name:Tesla, Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:304.0000
Timestamp:1492435800,1492459200
labels:1492437600,1492441200,1492444800,1492448400,1492452000,1492455600,1492459200
values:Timestamp,close,high,low,open,volume
close:298.9300,303.3600
high:299.4800,304.0000
low:298.6800,303.1000
open:298.9367,303.4850
volume:0,3867200
1492435828,301.9500,302.4800,301.9000,302.4800,110500
1492435860,303.1800,303.4300,302.2100,302.3397,50000
1492435921,303.3600,304.0000,303.1000,303.1797,52800
1492435980,303.2350,303.5870,302.7400,303.4850,44300
1492436040,302.3800,303.4400,302.3300,303.0100,42400
1492436100,301.7040,302.8000,301.5000,302.3000,35100
1492436160,301.5800,301.8700,301.5400,301.7379,24300
1492436222,300.1478,301.7000,300.0100,301.5800,90200
1492436339,298.9300,300.3600,298.9300,300.0800,83900
1492436340,299.3330,299.7400,298.6800,298.9367,43300
1492436458,299.2511,299.7700,298.7901,299.4300,39000
1492436461,299.2000,299.6500,298.8200,299.1100,46600
1492436524,299.2750,299.4800,298.9700,299.2700,50800
1492436639,299.3500,299.4800,299.1000,299.2466,24000
1492436643,299.5100,299.5500,298.9984,299.2700,48500
1492436703,300.2200,300.7000,299.6358,299.6700,57400
1492436760,300.2000,300.6099,299.6893,300.1892,29600
1492436879,299.8500,300.2099,299.6800,300.0726,13000
1492436880,299.3670,299.8300,299.3000,299.7284,24300
1492436999,299.7007,299.9900,299.4220,299.4220,13800
1492437000,299.9000,300.1799,299.7000,299.7645,19400
1492437119,300.4300,300.5600,299.8500,299.9108,20600
1492437120,299.7800,300.4297,299.7800,300.3100,17900
1492437181,300.4599,300.6400,299.7800,299.8000,25400
1492437244,300.7556,300.9300,300.1898,300.2700,18500
1492437305,300.2900,300.7500,300.1400,300.7500,17300
1492437419,300.4451,300.6600,300.2200,300.2680,13100
1492437420,300.0600,300.4650,299.8600,300.4650,17000
1492437480,300.1100,300.5000,299.9000,299.9700,10100
1492437543,300.6200,300.6200,299.8000,300.0300,19300
1492437609,300.1300,300.4800,300.1135,300.4800,10100
1492437663,300.0000,300.4100,299.8000,300.1300,17800
1492437779,300.0100,300.1200,299.8000,300.1200,11600
1492437780,299.7500,300.3000,299.7500,300.0900,11100
1492437841,299.9000,300.0000,299.6700,299.7100,10600
1492437900,299.9200,300.1500,299.8000,299.9500,14900
1492437963,300.5900,300.6500,299.9200,300.0000,15900
1492438020,300.1917,300.6800,299.9200,300.6300,15900
1492438081,300.0960,300.2600,299.9000,300.1731,25900
1492438199,300.2400,300.3600,300.0760,300.1500,6300
1492438200,300.6174,300.7600,300.1500,300.1550,13400
1492438265,300.4536,300.9200,300.4200,300.6347,20400
1492438322,300.5300,300.7168,300.4400,300.5100,10700
1492438380,300.7500,300.7700,300.3300,300.5000,16200
1492438440,301.1842,301.2000,300.6022,300.7492,17900
1492438500,301.5811,301.6400,301.0900,301.1900,19800
1492438619,302.1288,302.3000,301.5800,301.5800,37500
1492438620,301.5550,302.1900,301.5550,302.1700,19400
1492438682,302.2318,302.3000,301.7000,301.7022,15400
1492438740,302.0866,302.4100,302.0000,302.2675,17500
1492438802,301.7417,302.1216,301.6100,302.0010,15100
1492438862,302.0900,302.0900,301.6200,301.7875,13200
1492438922,301.9300,302.2500,301.9300,302.0900,8800
